U.S. Census Bureau
Source: Monthly Retail Trade and Food Services
448: Clothing and Clothing Access. Stores: U.S. Total
Seasonally Adjusted Sales - Monthly [Millions of Dollars]
Period: 2018 to 2024
Data Extracted on: April 13, 2024 (12:55 am)

Period,Value
Jan-2018,21811
Feb-2018,22362
Mar-2018,21663
Apr-2018,22070
May-2018,22779
Jun-2018,22206
Jul-2018,22562
Aug-2018,22106
Sep-2018,21963
Oct-2018,22426
Nov-2018,22492
Dec-2018,22169
Jan-2019,22050
Feb-2019,22128
Mar-2019,22430
Apr-2019,22353
May-2019,22168
Jun-2019,22150
Jul-2019,22519
Aug-2019,22470
Sep-2019,22248
Oct-2019,22297
Nov-2019,22250
Dec-2019,23168
Jan-2020,22816
Feb-2020,22656
Mar-2020,11402
Apr-2020,2849
May-2020,8260
Jun-2020,17088
Jul-2020,17892
Aug-2020,18192
Sep-2020,20550
Oct-2020,20051
Nov-2020,19084
Dec-2020,19976
Jan-2021,20710
Feb-2021,19774
Mar-2021,24049
Apr-2021,23962
May-2021,24616
Jun-2021,25570
Jul-2021,25047
Aug-2021,24593
Sep-2021,24881
Oct-2021,25030
Nov-2021,25715
Dec-2021,24873
Jan-2022,24278
Feb-2022,25096
Mar-2022,26107
Apr-2022,26174
May-2022,25716
Jun-2022,25930
Jul-2022,25318
Aug-2022,25708
Sep-2022,25964
Oct-2022,26018
Nov-2022,25856
Dec-2022,25374
Jan-2023,26534
Feb-2023,25949
Mar-2023,25616
Apr-2023,25652
May-2023,25697
Jun-2023,25736
Jul-2023,26052
Aug-2023,26314
Sep-2023,25995
Oct-2023,25958
Nov-2023,26262
Dec-2023,26625
Jan-2024,26413
Feb-2024,NA
Mar-2024,NA
Apr-2024,NA
May-2024,NA
Jun-2024,NA
Jul-2024,NA
Aug-2024,NA
Sep-2024,NA
Oct-2024,NA
Nov-2024,NA
Dec-2024,NA
