market,continent,market_with_online_2018,sales_sekM_2018,sales_percentage_2018,sales_rank_2018,store_number_2018,market_with_online_2019,sales_sekM_2019,sales_percentage_2019,sales_rank_2019,store_number_2019,market_with_online_2020,sales_sekM_2020,sales_percentage_2020,sales_rank_2020,store_number_2020
Germany,Europe,1,32367,15.38%,1,468,1,33540,14.41%,1,466,1,29684,15.87%,1,457
USA,North America,1,24798,11.79%,2,578,1,29976,12.88%,2,593,1,20802,11.12%,2,582
UK,Europe,1,13760,6.54%,3,304,1,14897,6.40%,3,305,1,11486,6.14%,3,289
France,Europe,1,11311,5.38%,4,237,1,12196,5.24%,4,235,1,9166,4.90%,5,228
China,Asia,1,10743,5.11%,5,530,1,12059,5.18%,5,520,1,9748,5.21%,4,505
Sweden,Europe,1,8404,3.99%,6,175,1,8993,3.86%,6,177,1,8015,4.29%,6,168
Italy,Europe,1,7630,3.63%,7,179,1,8401,3.61%,7,181,1,6079,3.25%,8,174
Spain,Europe,1,7373,3.50%,8,172,1,7930,3.41%,8,167,1,5535,2.96%,11,166
Netherlands,Europe,1,6465,3.07%,9,144,1,6813,2.93%,10,138,1,5758,3.08%,9,135
Russia,Europe,1,5737,2.73%,10,139,1,6852,2.94%,9,147,1,6226,3.33%,7,155
Franchise,Mixed,1,5620,2.67%,11,255,1,5711,2.45%,12,272,1,4833,2.58%,13,269
Poland,Europe,1,5285,2.51%,12,186,1,6336,2.72%,11,190,1,5095,2.72%,12,192
Switzerland,Europe,1,5145,2.45%,13,100,1,5676,2.44%,13,99,1,5550,2.97%,10,98
Denmark,Europe,1,5045,2.40%,14,113,1,5157,2.22%,15,112,1,4626,2.47%,14,105
Norway,Europe,1,4964,2.36%,15,130,1,5085,2.18%,17,127,1,4532,2.42%,15,125
Austria,Europe,1,4901,2.33%,16,88,1,5302,2.28%,14,87,1,4368,2.34%,16,87
Japan,Asia,1,4573,2.17%,17,91,1,4987,2.14%,18,105,1,4333,2.32%,17,115
Canada,North America,1,4569,2.17%,18,94,1,5094,2.19%,16,95,1,4181,2.24%,18,96
Belgium,Europe,1,3815,1.81%,19,96,1,4214,1.81%,19,98,1,3331,1.78%,19,93
Mexico,North America,0,2854,1.36%,20,45,1,3685,1.58%,20,52,1,2584,1.38%,20,55
Turkey,Europe,1,2852,1.36%,21,68,1,2797,1.20%,21,66,1,1925,1.03%,25,59
Finland,Europe,1,2412,1.15%,22,67,1,2530,1.09%,24,68,1,2158,1.15%,21,65
Romania,Europe,1,2299,1.09%,23,56,1,2642,1.14%,22,57,1,2116,1.13%,22,57
